game_id,date,win_percentage,home_team,away_team,home_team_recent_10,away_team_recent_10,result
82,13-12-13,1.65 (51.5%) 3.40 (25%) 3.60 (23.6%),맨체스C,아스널,8승1무1패,6승1무3패,1
85,13-12-13,2.24 (37.9%) 3.10 (27.4%) 2.45 (34.7%),토트넘,리버풀,5승3무2패,6승2무2패,0
86,13-12-13,2.26 (37.6%) 3.00 (28.3%) 2.50 (34%),카디프,브로미치,2승3무5패,2승4무4패,1
88,13-12-20,4.20 (20.2%) 3.55 (23.9%) 1.52 (55.9%),브레멘,레버쿠젠,1승4무5패,6승1무3패,1
90,13-12-20,4.40 (19.3%) 3.70 (22.9%) 1.47 (57.8%),발렌시아,레알마드,4승2무4패,7승2무1패,0
91,13-12-20,3.80 (22.4%) 3.25 (26.2%) 1.65 (51.5%),슈바이크,호펜하임,2승1무7패,3승3무4패,1
92,13-12-20,2.27 (37.4%) 3.05 (27.9%) 2.45 (34.7%),사우샘프,토트넘,2승4무4패,5승1무4패,0
93,13-12-20,4.10 (20.7%) 3.75 (22.6%) 1.50 (56.6%),사수올로,피오렌티,3승3무4패,6승1무3패,0
94,13-12-20,6.10 (13.9%) 4.30 (19.7%) 1.28 (66.3%),헤타페,바르셀로,5승1무4패,8승0무2패,0
96,13-12-20,2.85 (29.8%) 3.05 (27.9%) 2.01 (42.3%),스완지,에버턴,2승4무4패,5승4무1패,0
97,13-12-20,2.10 (40.5%) 3.10 (27.4%) 2.65 (32.1%),인터밀란,AC밀란,3승5무2패,2승6무2패,1
98,13-12-21,1.71 (49.8%) 3.20 (26.6%) 3.60 (23.6%),생테티엔,낭트,4승2무4패,5승1무4패,1
99,13-12-21,1.57 (54.1%) 3.20 (26.6%) 4.40 (19.3%),랭스,아작시오,5승2무3패,0승2무8패,1
101,13-12-21,2.70 (31.5%) 2.95 (28.8%) 2.14 (39.7%),FC소쇼,스타드렌,1승2무7패,3승2무5패,1
102,13-12-21,1.72 (49.5%) 3.20 (26.6%) 3.55 (24%),OGC니스,에비앙TG,3승0무7패,5승2무3패,1
104,13-12-21,1.25 (68%) 4.60 (18.5%) 6.30 (13.5%),도르트문,H베를린,5승1무4패,5승2무3패,0
105,13-12-21,4.20 (20.2%) 3.55 (23.9%) 1.52 (55.9%),브레멘,레버쿠젠,1승4무5패,6승1무3패,1
106,13-12-21,3.80 (22.4%) 3.25 (26.2%) 1.65 (51.5%),슈바이크,호펜하임,2승1무7패,3승3무4패,1
108,13-12-21,2.06 (41.3%) 3.20 (26.6%) 2.65 (32.1%),프라이부,하노버96,3승1무6패,1승3무6패,1
109,13-12-21,1.96 (43.3%) 3.10 (27.4%) 2.90 (29.3%),함부르크,마인츠05,3승3무4패,3승3무4패,0
110,13-12-21,1.24 (68.6%) 4.50 (18.9%) 6.80 (12.5%),맨체스U,웨스트햄,5승3무2패,3승3무4패,1
112,13-12-21,2.95 (28.8%) 3.05 (27.9%) 1.96 (43.4%),크리스탈,뉴캐슬,3승1무6패,5승2무3패,0
113,13-12-21,2.27 (37.4%) 3.05 (27.9%) 2.45 (34.7%),사우샘프,토트넘,2승4무4패,5승1무4패,0
114,13-12-21,2.13 (39.9%) 2.85 (29.8%) 2.80 (30.3%),스토크,애스턴,2승5무3패,2승4무4패,1
116,13-12-23,5.70 (14.9%) 3.85 (22.1%) 1.35 (63%),헐시티,맨체스U,2승4무4패,6승2무2패,0
117,13-12-23,1.24 (68.5%) 4.40 (19.3%) 7.00 (12.1%),에버턴,선덜랜드,6승4무0패,3승3무4패,0
119,13-12-23,3.85 (22.1%) 3.25 (26.1%) 1.64 (51.8%),세인트미,던디U,4승3무3패,7승1무2패,1
120,13-12-23,1.63 (52.1%) 3.50 (24.3%) 3.60 (23.6%),맨체스C,리버풀,8승1무1패,6승2무2패,1
122,13-12-23,1.52 (55.8%) 3.35 (25.3%) 4.50 (18.8%),뉴캐슬,스토크,6승1무3패,3승5무2패,1
123,13-12-27,5.40 (15.7%) 4.00 (21.3%) 1.35 (63%),노리치,맨체스U,3승2무5패,6승2무2패,0
124,13-12-27,1.55 (54.9%) 3.30 (25.8%) 4.40 (19.3%),에버턴,사우샘프,5승4무1패,2승3무5패,1
125,13-12-27,1.80 (47.2%) 3.05 (27.8%) 3.40 (25%),헐시티,풀럼,2승4무4패,2승0무8패,1
126,13-12-27,1.86 (45.6%) 3.10 (27.4%) 3.15 (27%),첼시,리버풀,6승1무3패,6승1무3패,1
128,13-12-27,3.45 (24.7%) 3.25 (26.2%) 1.73 (49.2%),뉴캐슬,아스널,7승1무2패,5승2무3패,0
129,13-12-27,6.10 (13.9%) 4.10 (20.7%) 1.30 (65.4%),인버네스,셀틱,5승2무3패,7승0무3패,0
130,13-12-27,1.35 (63%) 3.90 (21.8%) 5.60 (15.2%),토트넘,스토크,5승2무3패,3승4무3패,1
132,14-01-03,5.30 (16%) 3.80 (22.4%) 1.38 (61.6%),말라가,AT마드,3승4무3패,8승2무0패,0
133,14-01-03,7.70 (11%) 4.70 (18.1%) 1.20 (70.8%),세인트미,셀틱,3승3무4패,8승0무2패,0
134,14-01-03,1.30 (65.4%) 4.10 (20.7%) 6.10 (13.9%),맨체스U,스완지,,,0
135,14-01-03,1.42 (59.8%) 3.65 (23.3%) 5.00 (17%),뉴캐슬,카디프,,,0
136,14-01-03,1.74 (48.9%) 3.30 (25.8%) 3.35 (25.4%),아스널,토트넘,,,1
137,14-01-03,1.88 (45.2%) 3.05 (27.8%) 3.15 (27%),낭트,OGC니스,,,0
138,14-01-03,1.88 (45.2%) 3.05 (27.8%) 3.15 (27%),SC바스티,에비앙TG,,,1
139,14-01-03,1.64 (51.8%) 3.40 (25%) 3.65 (23.3%),유벤투스,AS로마,8승1무1패,5승5무0패,1
140,14-01-07,1.38 (61.6%) 3.85 (22.1%) 5.20 (16.3%),피오렌티,키에보,,,1
141,14-01-07,1.27 (67%) 3.95 (21.5%) 7.40 (11.5%),AS로마,삼프도리,,,1
142,14-01-07,4.50 (18.9%) 3.70 (22.9%) 1.46 (58.2%),선덜랜드,맨체스U,,,1
144,14-01-07,1.41 (60.3%) 3.55 (23.9%) 5.40 (15.7%),생테티엔,에비앙TG,5승2무3패,4승2무4패,1
145,14-01-07,2.70 (31.5%) 3.05 (27.9%) 2.09 (40.7%),우디네세,인터밀란,,,1
147,14-01-10,1.70 (49.9%) 3.10 (27.4%) 3.75 (22.6%),보르도,툴루즈,5승2무3패,3승4무3패,0
149,14-01-10,3.20 (26.5%) 3.00 (28.3%) 1.88 (45.2%),에비앙TG,마르세유,3승2무5패,4승2무4패,0
151,14-01-10,1.98 (42.9%) 3.00 (28.3%) 2.95 (28.8%),발랑시엔,SC바스티,2승4무4패,3승3무4패,1
153,14-01-10,7.20 (11.8%) 4.60 (18.5%) 1.22 (69.7%),에스파뇰,레알마드,2승2무6패,8승2무0패,0
154,14-01-10,2.90 (29.3%) 3.20 (26.6%) 1.93 (44.1%),셀타비고,발렌시아,3승1무6패,4승3무3패,1
156,14-01-10,1.71 (49.6%) 3.30 (25.7%) 3.45 (24.6%),베티스,오사수나,2승3무5패,2승4무4패,0
157,14-01-10,2.04 (41.7%) 3.10 (27.4%) 2.75 (30.9%),레반테,말라가,2승2무6패,3승4무3패,1
158,14-01-10,5.40 (15.7%) 4.00 (21.3%) 1.35 (63%),헐시티,첼시,3승3무4패,7승1무2패,0
159,14-01-10,1.60 (53.1%) 3.25 (26.2%) 4.10 (20.7%),사우샘프,브로미치,2승2무6패,1승4무5패,1
160,14-01-10,1.83 (46.4%) 3.15 (27%) 3.20 (26.6%),카디프,웨스트햄,2승3무5패,1승2무7패,0
161,14-01-10,2.03 (41.9%) 3.00 (28.3%) 2.85 (29.8%),풀럼,선덜랜드,3승1무6패,4승3무3패,0
162,14-01-10,1.35 (63%) 3.95 (21.5%) 5.50 (15.5%),맨체스U,스완지,6승0무4패,2승3무5패,1
164,14-01-11,1.35 (62.9%) 3.70 (22.9%) 6.00 (14.2%),리옹,FC소쇼,5승4무1패,2승2무6패,1
165,14-01-11,6.40 (13.3%) 4.10 (20.8%) 1.29 (66%),칼리아리,유벤투스,2승5무3패,9승0무1패,0
166,14-01-11,5.40 (15.7%) 4.00 (21.3%) 1.35 (63%),헐시티,첼시,3승3무4패,7승1무2패,0
167,14-01-11,1.26 (67.5%) 4.20 (20.2%) 6.90 (12.3%),AS로마,제노아,4승5무1패,4승3무3패,1
168,14-01-11,4.40 (19.3%) 3.70 (22.9%) 1.47 (57.8%),스토크,리버풀,3승3무4패,6승1무3패,0
169,14-01-11,4.40 (19.3%) 3.45 (24.7%) 1.52 (56%),사수올로,AC밀란,2승2무6패,3승5무2패,1
170,14-01-11,1.60 (53.1%) 3.25 (26.2%) 4.10 (20.7%),사우샘프,브로미치,2승2무6패,1승4무5패,1
171,14-01-17,1.00 (33.3%) 1.00 (33.3%) 1.00 (33.3%),마르세유,발랑시엔,1.001.004승,2무4패3승,1
172,14-01-17,1.45 (58.6%) 3.40 (25%) 5.20 (16.3%),OGC니스,아작시오,4승1무5패,0승2무8패,1
173,14-01-17,2.26 (37.6%) 2.75 (30.9%) 2.70 (31.5%),생테티엔,릴OSC,5승2무3패,6승2무2패,1
174,14-01-17,1.74 (48.9%) 3.10 (27.5%) 3.60 (23.6%),로리앙,갱강,5승2무3패,1승5무4패,1
175,14-01-17,2.45 (34.7%) 2.95 (28.8%) 2.33 (36.5%),SC바스티,보르도,3승3무4패,5승1무4패,1
176,14-01-17,2.40 (35.4%) 2.95 (28.8%) 2.38 (35.7%),FC소쇼,몽펠리에,1승2무7패,0승6무4패,0
179,14-01-17,2.13 (39.9%) 3.25 (26.1%) 2.50 (34%),엘체,라요,1승3무6패,2승3무5패,1
182,14-01-17,3.45 (24.7%) 3.25 (26.2%) 1.73 (49.2%),스완지,토트넘,2승3무5패,6승1무3패,0
183,14-01-17,1.50 (56.7%) 3.60 (23.6%) 4.30 (19.8%),첼시,맨체스U,7승1무2패,7승0무3패,1
185,14-01-17,2.85 (29.8%) 3.20 (26.6%) 1.95 (43.6%),웨스트햄,뉴캐슬,2승2무6패,4승1무5패,0
186,14-01-17,2.21 (38.5%) 2.95 (28.8%) 2.60 (32.7%),크리스탈,스토크,4승1무5패,3승3무4패,1
187,14-01-17,2.14 (39.7%) 2.95 (28.8%) 2.70 (31.5%),노리치,헐시티,1승4무5패,3승3무4패,1
188,14-01-21,6.30 (13.5%) 4.60 (18.5%) 1.25 (68%),웨스트햄,맨체스C,,,0
189,14-01-21,1.45 (58.7%) 3.50 (24.3%) 5.00 (17%),마르세유,OGC니스,,,0
190,14-01-21,1.14 (74.5%) 5.00 (17%) 10.00 (8.5%),PSG,몽펠리에,,,0
192,14-01-21,7.20 (11.8%) 4.20 (20.2%) 1.25 (68%),에스파뇰,레알마드,,,0
193,14-01-21,2.60 (32.7%) 3.20 (26.6%) 2.09 (40.7%),AS로마,유벤투스,,,1
195,14-01-24,1.79 (47.5%) 3.05 (27.9%) 3.45 (24.6%),몽펠리에,OGC니스,2승5무3패,6승1무3패,1
199,14-01-24,1.00 (33.3%) 1.00 (33.3%) 1.00 (33.3%),툴루즈,SC바스티,1.001.003승,4무3패3승,1
200,14-01-31,7.40 (11.5%) 4.80 (17.7%) 1.20 (70.8%),슈바이크,도르트문,2승2무6패,3승2무5패,0
201,14-01-31,1.33 (63.8%) 4.00 (21.2%) 5.70 (14.9%),레버쿠젠,슈투트가,6승0무4패,2승2무6패,1
202,14-01-31,1.33 (63.8%) 3.95 (21.5%) 5.80 (14.6%),에버턴,애스턴,6승2무2패,2승2무6패,1
203,14-01-31,5.80 (14.7%) 3.80 (22.4%) 1.35 (63%),스토크,맨체스U,2승1무7패,6승0무4패,1
204,14-01-31,1.99 (42.8%) 2.90 (29.3%) 3.05 (27.9%),SC바스티,갱강,3승3무4패,1승6무3패,1
205,14-01-31,1.35 (63%) 3.80 (22.4%) 5.80 (14.7%),생테티엔,발랑시엔,6승1무3패,2승4무4패,1
206,14-01-31,1.60 (53.1%) 3.30 (25.7%) 4.00 (21.2%),미국,한국,,,1
207,14-01-31,1.65 (51.6%) 3.30 (25.8%) 3.75 (22.7%),뉴캐슬,선덜랜드,4승2무4패,6승2무2패,0
210,14-02-04,5.10 (16.7%) 3.50 (24.3%) 1.44 (59%),싱가포르,요르단,,,0
211,14-02-04,5.80 (14.7%) 3.80 (22.4%) 1.35 (63%),낭트,PSG,,,0
212,14-02-04,4.30 (19.8%) 3.80 (22.4%) 1.47 (57.8%),로다JC,페예노르,2승2무6패,5승2무3패,0
213,14-02-04,1.64 (51.8%) 3.30 (25.8%) 3.80 (22.4%),AS로마,나폴리,,,1
214,14-02-04,1.64 (51.8%) 3.50 (24.3%) 3.55 (23.9%),맨체스C,첼시,9승1무0패,7승2무1패,0
215,14-02-07,1.46 (58.3%) 3.55 (24%) 4.80 (17.7%),마르세유,SC바스티,4승3무3패,4승2무4패,1
217,14-02-07,2.60 (32.7%) 3.00 (28.3%) 2.18 (39%),낭트,리옹,3승1무6패,7승2무1패,0
219,14-02-07,2.14 (39.8%) 2.90 (29.3%) 2.75 (30.9%),발랑시엔,OGC니스,2승3무5패,7승1무2패,1
220,14-02-07,1.00 (33.3%) 1.00 (33.3%) 1.00 (33.3%),보르도,로리앙,1.001.004승,1무5패6승,1
221,14-02-07,1.25 (68%) 4.40 (19.3%) 6.70 (12.7%),셀틱,애버딘,,,0
222,14-02-07,1.15 (73.9%) 5.20 (16.3%) 8.70 (9.8%),첼시,뉴캐슬,8승2무0패,3승2무5패,1
224,14-02-07,6.60 (12.9%) 4.00 (21.3%) 1.29 (65.9%),알메리아,AT마드,3승2무5패,6승3무1패,1
225,14-02-07,1.50 (56.7%) 3.55 (24%) 4.40 (19.3%),E프랑크,슈바이크,4승2무4패,2승2무6패,1
226,14-02-07,1.74 (48.9%) 3.25 (26.2%) 3.40 (25%),선덜랜드,헐시티,6승2무2패,3승2무5패,0
227,14-02-07,2.01 (42.2%) 3.10 (27.4%) 2.80 (30.3%),리버풀,아스널,6승2무2패,8승2무0패,1
228,14-02-07,1.92 (44.3%) 3.05 (27.9%) 3.05 (27.9%),토트넘,에버턴,5승2무3패,6승2무2패,1
231,14-02-08,1.65 (51.6%) 3.30 (25.8%) 3.75 (22.7%),스완지,카디프,3승1무6패,3승1무6패,1
232,14-02-08,2.01 (42.2%) 3.10 (27.4%) 2.80 (30.3%),리버풀,아스널,6승2무2패,8승2무0패,1
233,14-02-08,1.74 (48.9%) 3.25 (26.2%) 3.40 (25%),선덜랜드,헐시티,6승2무2패,3승2무5패,0
234,14-02-08,1.94 (43.8%) 3.05 (27.9%) 3.00 (28.3%),애스턴,웨스트햄,2승2무6패,2승2무6패,0
235,14-02-08,2.26 (37.6%) 3.00 (28.3%) 2.50 (34%),크리스탈,브로미치,4승1무5패,1승5무4패,1
236,14-02-08,6.40 (13.3%) 4.00 (21.3%) 1.30 (65.5%),브레멘,도르트문,2승2무6패,4승2무4패,0
237,14-02-08,1.44 (59%) 3.70 (22.9%) 4.70 (18.1%),샬케04,하노버96,5승3무2패,3승2무5패,1
239,14-02-08,2.31 (36.8%) 3.15 (27%) 2.35 (36.2%),함부르크,H베를린,2승1무7패,4승1무5패,0
240,14-02-08,1.69 (50.4%) 3.45 (24.7%) 3.40 (25%),볼프스부,마인츠05,5승3무2패,6승2무2패,1
241,14-02-08,2.11 (40.3%) 3.15 (27%) 2.60 (32.7%),슈투트가,아우크스,2승1무7패,5승3무2패,0
242,14-02-14,1.20 (70.8%) 4.80 (17.7%) 7.40 (11.5%),도르트문,E프랑크,6승2무2패,5승1무4패,1
243,14-02-14,5.00 (17%) 3.65 (23.3%) 1.42 (59.8%),사수올로,나폴리,1승0무9패,6승2무2패,0
